"review_order","source_row","decision_approve_edit_move_reject","native_russian_correction","english_correction","level","register_note","sensitive_content_note","reviewer_comment","russian","transliteration","english","category"
"200","1046","","","","","","","","Ты знаешь, что мне надо идти.","Ty znaesh, chto mne nado idti.","You know I have to go.","Thoughts, Needs & Feelings"
"201","1048","","","","","","","","Я думаю, мы можем её поймать.","Ya dumayu, my mozhem eyo poymat.","I think we can catch her.","Thoughts, Needs & Feelings"
"202","50","","","","","","","","Как вы попали в мой дом?","Kak vy popali v moy dom?","How did you get into my house?","Questions & Answers"
"203","1050","","","","","","","","Думаю, я могу на это ответить.","Dumayu, ya mogu na eto otvetit.","I think I can answer that.","Thoughts, Needs & Feelings"
"204","51","","","","","","","","Ну и как вам эта работа?","Nu i kak vam eta rabota?","And how do you like this work?","Questions & Answers"
"205","54","","","","","","","","Ну, что же я буду делать?","Nu, chto zhe ya budu delat?","Well, what am I going to do?","Fluency Builder 1"
"206","56","","","","","","","","Где и когда ты это купил?","Gde i kogda ty eto kupil?","When and where did you buy that?","Questions & Answers"
"207","58","","","","","","","","Вы разве не знаете, кто я?","Vy razve ne znaete, kto ya?","Do you not know who I am?","Fluency Builder 1"
"208","60","","","","","","","","Что у тебя была за работа?","Chto u tebya byla za rabota?","What did you do for a living?","Work & Daily Tasks"
"209","63","","","","","","","","Что я тебе про это говорил?","Chto ya tebe pro eto govoril?","What did I tell you about that?","Fluency Builder 1"
"210","64","","","","","","","","Вы не знаете, где мой ключ?","Vy ne znaete, gde moy klyuch?","Do you know where my key is?","Questions & Answers"
"211","1064","","","","","","","","Хорошо, что я встретил тебя здесь.","Khorosho, chto ya vstretil tebya zdes.","It was nice meeting you here.","Work & Daily Tasks"
"212","65","","","","","","","","Если да, то что нам делать?","Esli da, to chto nam delat?","If so, then what do we do?","Fluency Builder 1"
"213","66","","","","","","","","Во сколько и куда мне идти?","Vo skolko i kuda mne idti?","What time and where should I go?","Questions & Answers"
"214","1066","","","","","","","","Я знаю, что здесь может случиться.","Ya znayu, chto zdes mozhet sluchitsya.","I know what can happen here.","Fluency Builder 3"
"215","68","","","","","","","","Он знает, что ты его любишь?","On znaet, chto ty ego lyubish?","Does he know that you love him?","Fluency Builder 1"
"216","69","","","","","","","","Что мне делать с её письмом?","Chto mne delat s eyo pismom?","What shall I do with her letter?","Fluency Builder 1"
"217","1069","","","","","","","","Ты заставила меня купить тебе это.","Ty zastavila menya kupit tebe eto.","You made me buy you that.","Shopping & Money"
"218","70","","","","","","","","Кто вам сказал, что я болен?","Kto vam skazal, chto ya bolen?","Who told you that I was sick?","Health & Body"
"219","71","","","","","","","","Как я буду писать без ручки?","Kak ya budu pisat bez ruchki?","How am I writing without a pen?","Questions & Answers"
"220","72","","","","","","","","Где я могу найти одно такое?","Gde ya mogu nayti odno takoe?","Where can I find one of those?","Questions & Answers"
"221","73","","","","","","","","Что ты им только что сказал?","Chto ty im tolko chto skazal?","What did you just say to them?","Fluency Builder 1"
"222","1075","","","","","","","","Я только вчера начал здесь работать.","Ya tolko vchera nachal zdes rabotat.","I just started working here yesterday.","Work & Daily Tasks"
"223","77","","","","","","","","Как вышло, что ты полюбил её?","Kak vyshlo, chto ty polyubil eyo?","How did you come to love her?","Questions & Answers"
"224","1077","","","","","","","","Я думаю, что она очень привлекательна.","Ya dumayu, chto ona ochen privlekatelna.","I think she is very attractive.","Thoughts, Needs & Feelings"
"225","78","","","","","","","","Как ты прибудешь в это время?","Kak ty pribudesh v eto vremya?","How can you arrive at this time?","Questions & Answers"
"226","79","","","","","","","","Что ты хотел спросить у меня?","Chto ty khotel sprosit u menya?","What did you want to ask me?","Thoughts, Needs & Feelings"
"227","81","","","","","","","","Они сказали вам, кто я такой?","Oni skazali vam, kto ya takoy?","Did they tell you who I was?","Fluency Builder 1"
"228","84","","","","","","","","Ты хочешь, чтобы я её позвал?","Ty khochesh, chtoby ya eyo pozval?","Do you want me to call her?","Thoughts, Needs & Feelings"
"229","85","","","","","","","","У тебя есть что показать мне?","U tebya est chto pokazat mne?","Do you have something to show me?","Questions & Answers"
"230","87","","","","","","","","Ты помнишь, что ты там видел?","Ty pomnish, chto ty tam videl?","Do you remember what you saw there?","Fluency Builder 1"
"231","88","","","","","","","","Ты думаешь, где я ее встретил?","Ty dumaesh, gde ya ee vstretil?","Where do you think I met her?","Questions & Answers"
"232","89","","","","","","","","Ты сегодня её купил или вчера?","Ty segodnya eyo kupil ili vchera?","Did you buy it today or yesterday?","Shopping & Money"
"233","91","","","","","","","","Что ты можешь купить на рынке?","Chto ty mozhesh kupit na rynke?","What can you buy at the market?","Shopping & Money"
"234","93","","","","","","","","Сколько у тебя уже эта машина?","Skolko u tebya uzhe eta mashina?","How long have you had this car?","Questions & Answers"
"235","94","","","","","","","","Что у тебя там ещё происходит?","Chto u tebya tam eshchyo proiskhodit?","What else have you got going on?","Fluency Builder 1"
"236","95","","","","","","","","Как, ты там говорил, её звали?","Kak, ty tam govoril, eyo zvali?","What did you say her name was?","Questions & Answers"
"237","98","","","","","","","","Вы помните, где вы это купили?","Vy pomnite, gde vy eto kupili?","Do you remember where you bought that?","Questions & Answers"
"238","99","","","","","","","","Он сказал тебе, где она живёт?","On skazal tebe, gde ona zhivyot?","Did he tell you where she lived?","Questions & Answers"
"239","100","","","","","","","","Ты приобрёл то, что нам нужно?","Ty priobryol to, chto nam nuzhno?","Did you get the things we needed?","Thoughts, Needs & Feelings"
"240","101","","","","","","","","Что ты делал, когда она пришла?","Chto ty delal, kogda ona prishla?","What were you doing when she came?","Questions & Answers"
"241","102","","","","","","","","Где я могу купить живого тигра?","Gde ya mogu kupit zhivogo tigra?","Where can I buy a live tiger?","Questions & Answers"
"242","103","","","","","","","","Что ты хочешь на день рождения?","Chto ty khochesh na den rozhdeniya?","What do you want for your birthday?","Thoughts, Needs & Feelings"
"243","105","","","","","","","","Ты хочешь, чтобы он тебе помог?","Ty khochesh, chtoby on tebe pomog?","Do you want him to help you?","Thoughts, Needs & Feelings"
"244","106","","","","","","","","Ты уверен, что это был призрак?","Ty uveren, chto eto byl prizrak?","Are you sure it was a ghost?","Fluency Builder 1"
"245","109","","","","","","","","Как долго ты будешь это делать?","Kak dolgo ty budesh eto delat?","How long will you be doing that?","Questions & Answers"
"246","111","","","","","","","","Что можно сказать в его защиту?","Chto mozhno skazat v ego zashchitu?","What can be said in his defence?","Fluency Builder 1"
"247","112","","","","","","","","Кто знает, где мы будем завтра?","Kto znaet, gde my budem zavtra?","Who knows where we will be tomorrow?","Questions & Answers"
"248","113","","","","","","","","Есть место, где я могу покурить?","Est mesto, gde ya mogu pokurit?","Is there a place I can smoke?","Questions & Answers"
"249","119","","","","","","","","Ты можешь помочь мне найти дочь?","Ty mozhesh pomoch mne nayti doch?","Can you help me find my daughter?","Fluency Builder 1"
"250","121","","","","","","","","Кто ещё знает, как это делается?","Kto eshchyo znaet, kak eto delaetsya?","Who else knows how to do this?","Questions & Answers"
