"review_order","source_row","decision_approve_edit_move_reject","native_russian_correction","english_correction","level","register_note","sensitive_content_note","reviewer_comment","russian","transliteration","english","category"
"250","121","","","","","","","","Кто ещё знает, как это делается?","Kto eshchyo znaet, kak eto delaetsya?","Who else knows how to do this?","Questions & Answers"
"251","122","","","","","","","","Что бы вы хотели сегодня сделать?","Chto by vy khoteli segodnya sdelat?","What would you like to do today?","Time & Plans"
"252","123","","","","","","","","Она знает, что она тебе нравится?","Ona znaet, chto ona tebe nravitsya?","Does she know that you like her?","Fluency Builder 1"
"253","124","","","","","","","","Как ты можешь мне такое говорить?","Kak ty mozhesh mne takoe govorit?","How can you say that to me?","Questions & Answers"
"254","130","","","","","","","","Ты уверен, что хочешь только воды?","Ty uveren, chto khochesh tolko vody?","Are you sure you just want water?","Thoughts, Needs & Feelings"
"255","132","","","","","","","","Как думаешь, кто нам может помочь?","Kak dumaesh, kto nam mozhet pomoch?","Who do you think can help us?","Questions & Answers"
"256","134","","","","","","","","Что я должен сейчас сказать детям?","Chto ya dolzhen seychas skazat detyam?","What should I tell the kids now?","Fluency Builder 1"
"257","135","","","","","","","","Как ты думаешь, сколько это стоит?","Kak ty dumaesh, skolko eto stoit?","How much do you think this costs?","Questions & Answers"
"258","136","","","","","","","","Как ты можешь знать это наверняка?","Kak ty mozhesh znat eto navernyaka?","How can you know that for sure?","Questions & Answers"
"259","137","","","","","","","","Что мы будем есть сегодня вечером?","Chto my budem est segodnya vecherom?","What are we going to eat tonight?","Food & Restaurants"
"260","138","","","","","","","","Это правда, что ты поцеловала его?","Eto pravda, chto ty potselovala ego?","Is it true that you kissed him?","Fluency Builder 1"
"261","140","","","","","","","","Почему он построил свой дом здесь?","Pochemu on postroil svoy dom zdes?","Why did he build his house here?","Questions & Answers"
"262","141","","","","","","","","Где вы были, когда произошёл взрыв?","Gde vy byli, kogda proizoshyol vzryv?","Where were you when the explosion occurred?","Questions & Answers"
"263","143","","","","","","","","Кто дал вам разрешение сделать это?","Kto dal vam razreshenie sdelat eto?","Who gave you permission to do that?","Fluency Builder 1"
"264","146","","","","","","","","Как хорошо вы знаете своих соседей?","Kak khorosho vy znaete svoikh sosedey?","How well do you know your neighbors?","Questions & Answers"
"265","147","","","","","","","","Вы можете завтра прийти на собрание?","Vy mozhete zavtra priyti na sobranie?","Can you come to the meeting tomorrow?","Work & Daily Tasks"
"266","149","","","","","","","","Что мне сказать, чтобы убедить тебя?","Chto mne skazat, chtoby ubedit tebya?","What can I say to convince you?","Fluency Builder 1"
"267","150","","","","","","","","Ты думал, что можешь меня одурачить?","Ty dumal, chto mozhesh menya odurachit?","Did you think you could fool me?","Thoughts, Needs & Feelings"
"268","151","","","","","","","","Что вы почувствовали, когда он умер?","Chto vy pochuvstvovali, kogda on umer?","What did you feel when he died?","Questions & Answers"
"269","152","","","","","","","","Я могу рассчитывать, что ты придёшь?","Ya mogu rasschityvat, chto ty pridyosh?","Can I count on you to come?","Fluency Builder 1"
"270","153","","","","","","","","Где я могу взять телефонную карточку?","Gde ya mogu vzyat telefonnuyu kartochku?","Where can I get a telephone card?","Questions & Answers"
"271","154","","","","","","","","Погоди, ты что это пытаешься сделать?","Pogodi, ty chto eto pytaeshsya sdelat?","Wait, what are you trying to do?","Time & Plans"
"272","156","","","","","","","","Во сколько можно вам завтра позвонить?","Vo skolko mozhno vam zavtra pozvonit?","What time can I call you tomorrow?","Questions & Answers"
"273","157","","","","","","","","Ты можешь мне объяснить, что случилось?","Ty mozhesh mne obyasnit, chto sluchilos?","Can you explain to me what happened?","Fluency Builder 1"
"274","160","","","","","","","","Есть вероятность, что ты сможешь прийти?","Est veroyatnost, chto ty smozhesh priyti?","Is there any chance you could come?","Fluency Builder 1"
"275","161","","","","","","","","Куда можно вам позвонить сегодня вечером?","Kuda mozhno vam pozvonit segodnya vecherom?","Where can I phone you this evening?","Questions & Answers"
"276","162","","","","","","","","Ты можешь завтра прийти немного пораньше?","Ty mozhesh zavtra priyti nemnogo poranshe?","Can you come a bit earlier tomorrow?","Time & Plans"
"277","1743","","","","","","","","Прости, что я тебе не поверил.","Prosti, chto ya tebe ne poveril.","I'm sorry that I didn't believe you.","Core Social Language"
"278","261","","","","","","","","Что ты вчера ел на обед?","Chto ty vchera el na obed?","What did you eat for lunch yesterday?","Food & Restaurants"
"279","265","","","","","","","","Кто все эти люди вон там?","Kto vse eti lyudi von tam?","Who are all these people over there?","Fluency Builder 1"
"280","270","","","","","","","","И куда же ты хочешь пойти?","I kuda zhe ty khochesh poyti?","Where do you want to go, then?","Questions & Answers"
"281","271","","","","","","","","В какие ещё дни вы можете?","V kakie eshchyo dni vy mozhete?","What other days do you have available?","Questions & Answers"
"282","272","","","","","","","","Что мы купим на эти деньги?","Chto my kupim na eti dengi?","What shall we buy with that money?","Shopping & Money"
"283","273","","","","","","","","Что у тебя сегодня на обед?","Chto u tebya segodnya na obed?","What are you having for lunch today?","Food & Restaurants"
"284","274","","","","","","","","Что я могу без моих друзей?","Chto ya mogu bez moikh druzey?","What can I do without my friends?","Fluency Builder 1"
"285","276","","","","","","","","Сколько лет вы уже в браке?","Skolko let vy uzhe v brake?","How many years have you been married?","Questions & Answers"
"286","279","","","","","","","","Ты принёс то, что я просил?","Ty prinyos to, chto ya prosil?","Did you bring what I asked for?","Fluency Builder 1"
"287","280","","","","","","","","Я могу завтра пойти в кино?","Ya mogu zavtra poyti v kino?","Can I go to the movies tomorrow?","Time & Plans"
"288","281","","","","","","","","Где ты взял все эти деньги?","Gde ty vzyal vse eti dengi?","Where did you get all that money?","Questions & Answers"
"289","282","","","","","","","","Ты хочешь это место или нет?","Ty khochesh eto mesto ili net?","Do you want the job or not?","Work & Daily Tasks"
"290","286","","","","","","","","Могу я помочь вам с багажом?","Mogu ya pomoch vam s bagazhom?","Can I help you with your luggage?","Fluency Builder 1"
"291","287","","","","","","","","Кто из вас был здесь первым?","Kto iz vas byl zdes pervym?","Which one of you was here first?","Fluency Builder 1"
"292","288","","","","","","","","Это всё, на что вы способны?","Eto vsyo, na chto vy sposobny?","Is this the best you can do?","Fluency Builder 1"
"293","293","","","","","","","","Как ты мог меня так унизить?","Kak ty mog menya tak unizit?","How could you humiliate me like that?","Questions & Answers"
"294","294","","","","","","","","У тебя была девушка до меня?","U tebya byla devushka do menya?","Did you have a girlfriend before me?","Fluency Builder 1"
"295","297","","","","","","","","Что ещё ты от нас скрываешь?","Chto eshchyo ty ot nas skryvaesh?","What else are you hiding from us?","Fluency Builder 1"
"296","299","","","","","","","","Ты уверен, что они не правы?","Ty uveren, chto oni ne pravy?","Are you sure they are not right?","Fluency Builder 1"
"297","302","","","","","","","","Кому, как не мне, это знать?","Komu, kak ne mne, eto znat?","Who knows that better than I do?","Questions & Answers"
"298","304","","","","","","","","Куда бы ты потом хотел пойти?","Kuda by ty potom khotel poyti?","Where would you like to go next?","Questions & Answers"
"299","308","","","","","","","","Как ты так быстро это сделал?","Kak ty tak bystro eto sdelal?","How did you do it so quickly?","Questions & Answers"
"300","314","","","","","","","","Ты что делаешь в такое время?","Ty chto delaesh v takoe vremya?","What are you doing at this hour?","Fluency Builder 1"
"301","315","","","","","","","","Как ты на всё находишь время?","Kak ty na vsyo nakhodish vremya?","How do you find time for everything?","Questions & Answers"
"302","316","","","","","","","","Ты думаешь, я ничего не знаю?","Ty dumaesh, ya nichego ne znayu?","Do you think that I know nothing?","Thoughts, Needs & Feelings"
"303","317","","","","","","","","Ты совсем поехал уже, что ли?","Ty sovsem poekhal uzhe, chto li?","Have you gone totally bonkers or what?","Fluency Builder 1"
"304","321","","","","","","","","Как я могу от него избавиться?","Kak ya mogu ot nego izbavitsya?","How can I get rid of him?","Questions & Answers"
"305","322","","","","","","","","Где я могу забрать свой билет?","Gde ya mogu zabrat svoy bilet?","Where can I pick up my ticket?","Questions & Answers"
"306","324","","","","","","","","Сколько работы у вас ещё есть?","Skolko raboty u vas eshchyo est?","How much more work do you have?","Questions & Answers"
"307","327","","","","","","","","Что ты здесь делаешь так рано?","Chto ty zdes delaesh tak rano?","What do you do here so early?","Fluency Builder 1"
"308","328","","","","","","","","Ты помнишь, как их всех зовут?","Ty pomnish, kak ikh vsekh zovut?","Do you remember all of their names?","Questions & Answers"
"309","330","","","","","","","","Что ты выучил сегодня в школе?","Chto ty vyuchil segodnya v shkole?","What did you learn at school today?","Time & Plans"
"310","333","","","","","","","","Где ты, чёрт возьми, это взял?","Gde ty, chyort vozmi, eto vzyal?","Where on earth did you get it?","Questions & Answers"
"311","335","","","","","","","","Ты можешь подвезти их до дома?","Ty mozhesh podvezti ikh do doma?","Can you give them a ride home?","Home & Family Life"
"312","337","","","","","","","","Что все эти дети здесь делают?","Chto vse eti deti zdes delayut?","What are all these kids doing here?","Fluency Builder 1"
"313","340","","","","","","","","Что вы сегодня ели на завтрак?","Chto vy segodnya eli na zavtrak?","What did you have for breakfast today?","Food & Restaurants"
"314","341","","","","","","","","Во сколько у тебя завтра пара?","Vo skolko u tebya zavtra para?","What time do you have class tomorrow?","Questions & Answers"
"315","342","","","","","","","","Откуда он знал, что мы придём?","Otkuda on znal, chto my pridyom?","How did he know we were coming?","Questions & Answers"
"316","344","","","","","","","","Как я могу искупить свою вину?","Kak ya mogu iskupit svoyu vinu?","How can I atone for my guilt?","Questions & Answers"
"317","346","","","","","","","","Почему он хочет, чтобы я ушёл?","Pochemu on khochet, chtoby ya ushyol?","Why does he want me to leave?","Questions & Answers"
"318","347","","","","","","","","Где я раньше видел это платье?","Gde ya ranshe videl eto plate?","Where have I seen that dress before?","Questions & Answers"
"319","349","","","","","","","","Где ты нашёл эти редкие марки?","Gde ty nashyol eti redkie marki?","Where did you find these rare stamps?","Questions & Answers"
"320","350","","","","","","","","Сколько раз ты была в замужем?","Skolko raz ty byla v zamuzhem?","How many times did you get married?","Questions & Answers"
"321","352","","","","","","","","Что можно найти на этом сайте?","Chto mozhno nayti na etom sayte?","What can I find on this website?","Fluency Builder 1"
"322","354","","","","","","","","Во сколько тебе было бы удобно?","Vo skolko tebe bylo by udobno?","What time will be right for you?","Questions & Answers"
"323","357","","","","","","","","Как вы думаете, сколько ей лет?","Kak vy dumaete, skolko ey let?","How old do you think she is?","Questions & Answers"
"324","360","","","","","","","","Что мне делать в этой ситуации?","Chto mne delat v etoy situatsii?","What should I do in this situation?","Fluency Builder 1"
"325","362","","","","","","","","Думаешь, он всё ещё любит меня?","Dumaesh, on vsyo eshchyo lyubit menya?","Do you think he still loves me?","Thoughts, Needs & Feelings"
"326","363","","","","","","","","Куда это вы все так вырядились?","Kuda eto vy vse tak vyryadilis?","What are you all dressed up for?","Fluency Builder 1"
"327","364","","","","","","","","Как долго вы были на вечеринке?","Kak dolgo vy byli na vecherinke?","How long were you at the party?","Questions & Answers"
"328","365","","","","","","","","Ты что на меня пыришься, демон?","Ty chto na menya pyrishsya, demon?","Why are you staring at me, demon?","Questions & Answers"
"329","366","","","","","","","","Ты помнишь, как мы сюда попали?","Ty pomnish, kak my syuda popali?","Do you remember how we got here?","Questions & Answers"
"330","369","","","","","","","","Почему ты хотел, чтобы мы ушли?","Pochemu ty khotel, chtoby my ushli?","Why did you want us to leave?","Questions & Answers"
"331","371","","","","","","","","Что ты купишь мне на Рождество?","Chto ty kupish mne na Rozhdestvo?","What are you getting me for Christmas?","Shopping & Money"
"332","376","","","","","","","","Как ты мог снова это допустить?","Kak ty mog snova eto dopustit?","How could you let that happen again?","Questions & Answers"
"333","378","","","","","","","","Куда нам пойти сегодня на ужин?","Kuda nam poyti segodnya na uzhin?","Where should we have dinner this evening?","Questions & Answers"
"334","379","","","","","","","","Сколько дней ты был в больнице?","Skolko dney ty byl v bolnitse?","How many days were you in hospital?","Questions & Answers"
"335","380","","","","","","","","Как ты скажешь это на турецком?","Kak ty skazhesh eto na turetskom?","How do you say it in Turkish?","Questions & Answers"
"336","382","","","","","","","","Тебя разозлило то, что я сказал?","Tebya razozlilo to, chto ya skazal?","Are you angry at what I said?","Fluency Builder 1"
"337","384","","","","","","","","Как ты мог сделать такую ошибку?","Kak ty mog sdelat takuyu oshibku?","How come you made such a mistake?","Questions & Answers"
"338","388","","","","","","","","Где вы живёте в настоящее время?","Gde vy zhivyote v nastoyashchee vremya?","Where do you live at the moment?","Questions & Answers"
"339","389","","","","","","","","Сколько мы уже друг друга знаем?","Skolko my uzhe drug druga znaem?","How long have we known each other?","Questions & Answers"
"340","390","","","","","","","","Почему ты сказал то, что сказал?","Pochemu ty skazal to, chto skazal?","Why did you say what you said?","Questions & Answers"
"341","393","","","","","","","","Что это вы тут, ребята, делаете?","Chto eto vy tut, rebyata, delaete?","What is it you guys are doing?","Fluency Builder 1"
"342","396","","","","","","","","Откуда ты его так хорошо знаешь?","Otkuda ty ego tak khorosho znaesh?","How come you know him so well?","Questions & Answers"
"343","399","","","","","","","","Что нам делать с этой проблемой?","Chto nam delat s etoy problemoy?","What should we do about this problem?","Fluency Builder 1"
"344","406","","","","","","","","Ты знала, что он квартиру купил?","Ty znala, chto on kvartiru kupil?","Did you know he bought a flat?","Home & Family Life"
"345","408","","","","","","","","Что Вы думаете о его предложении?","Chto Vy dumaete o ego predlozhenii?","How do you feel about his suggestion?","Questions & Answers"
"346","409","","","","","","","","Во сколько он сказал, что придёт?","Vo skolko on skazal, chto pridyot?","When did he say he would come?","Questions & Answers"
"347","410","","","","","","","","Это единственные, что у вас есть?","Eto edinstvennye, chto u vas est?","Are these the only ones you have?","Fluency Builder 1"
"348","421","","","","","","","","Вы сказали ей, что вы чувствуете?","Vy skazali ey, chto vy chuvstvuete?","Have you told her how you feel?","Questions & Answers"
"349","423","","","","","","","","Ты слышал, как быстро он говорит?","Ty slyshal, kak bystro on govorit?","Did you hear how quickly he speaks?","Questions & Answers"
"350","425","","","","","","","","Что вы обнаружили в его карманах?","Chto vy obnaruzhili v ego karmanakh?","What did you find in his pockets?","Fluency Builder 1"
"351","426","","","","","","","","Ты всё ещё планируешь нам помочь?","Ty vsyo eshchyo planiruesh nam pomoch?","Do you still plan to help us?","Fluency Builder 1"
"352","429","","","","","","","","Тебе нравится то, что ты читаешь?","Tebe nravitsya to, chto ty chitaesh?","Do you like what you are reading?","Fluency Builder 1"
"353","432","","","","","","","","Кто тебя пустил за мой компьютер?","Kto tebya pustil za moy kompyuter?","Who let you sit at my computer?","Fluency Builder 1"
"354","433","","","","","","","","Где я могу увидеть полный список?","Gde ya mogu uvidet polnyy spisok?","Where can I see the full list?","Questions & Answers"
"355","434","","","","","","","","Куда ты ходила вчера после школы?","Kuda ty khodila vchera posle shkoly?","Where did you go after school yesterday?","Questions & Answers"
"356","438","","","","","","","","Кто к нам сегодня вечером пришёл?","Kto k nam segodnya vecherom prishyol?","Who has come to us this evening?","Time & Plans"
"357","443","","","","","","","","Где Вы так хорошо выучили чешский?","Gde Vy tak khorosho vyuchili cheshskiy?","Where did you learn Czech so well?","Questions & Answers"
"358","445","","","","","","","","Почему ты купил только один банан?","Pochemu ty kupil tolko odin banan?","Why did you buy only one banana?","Questions & Answers"
"359","451","","","","","","","","Ты сказала ему, что ты чувствуешь?","Ty skazala emu, chto ty chuvstvuesh?","Did you tell him how you feel?","Questions & Answers"
"360","454","","","","","","","","Почему ты ведёшь себя как ребенок?","Pochemu ty vedyosh sebya kak rebenok?","Why are you acting like a child?","Questions & Answers"
"361","455","","","","","","","","Вы можете дать работу моему брату?","Vy mozhete dat rabotu moemu bratu?","Can you give my brother a job?","Work & Daily Tasks"
"362","458","","","","","","","","Ты понимаешь всё, что они говорят?","Ty ponimaesh vsyo, chto oni govoryat?","Do you understand everything they are saying?","Fluency Builder 1"
"363","464","","","","","","","","Ты обещаешь, что не забудешь меня?","Ty obeshchaesh, chto ne zabudesh menya?","Do you promise not to forget me?","Fluency Builder 1"
"364","465","","","","","","","","Ты уверен, что ему можно доверять?","Ty uveren, chto emu mozhno doveryat?","Are you sure he can be trusted?","Fluency Builder 1"
"365","466","","","","","","","","Ты тоже слышал, как кошка мяукает?","Ty tozhe slyshal, kak koshka myaukaet?","Did you hear a cat miaowing, too?","Questions & Answers"
"366","467","","","","","","","","Кто эта девушка, которая там стоит?","Kto eta devushka, kotoraya tam stoit?","Who is the girl standing over there?","Fluency Builder 1"
"367","468","","","","","","","","Это платье хорошо на мне смотрится?","Eto plate khorosho na mne smotritsya?","Does this dress look good on me?","Shopping & Money"
"368","469","","","","","","","","Как долго поезд будет здесь стоять?","Kak dolgo poezd budet zdes stoyat?","How long will the train stop here?","Questions & Answers"
"369","470","","","","","","","","Во сколько я должен тебя разбудить?","Vo skolko ya dolzhen tebya razbudit?","What time should I wake you up?","Questions & Answers"
"370","471","","","","","","","","Эта работа слишком трудна для тебя?","Eta rabota slishkom trudna dlya tebya?","Is the work too hard for you?","Work & Daily Tasks"
"371","474","","","","","","","","Как вы можете себе такое позволять?","Kak vy mozhete sebe takoe pozvolyat?","How can you afford something like this?","Questions & Answers"
"372","476","","","","","","","","Сказать ему, чтобы он вам позвонил?","Skazat emu, chtoby on vam pozvonil?","Should I tell him to call you?","Fluency Builder 1"
"373","477","","","","","","","","Ты всегда получаешь то, что хочешь?","Ty vsegda poluchaesh to, chto khochesh?","Do you always get what you want?","Thoughts, Needs & Feelings"
"374","488","","","","","","","","Что ты приготовишь сегодня на ужин?","Chto ty prigotovish segodnya na uzhin?","What are you making for dinner tonight?","Food & Restaurants"
"375","489","","","","","","","","Вы слышали, как она быстро говорит?","Vy slyshali, kak ona bystro govorit?","Have you heard how fast she talks?","Questions & Answers"
"376","490","","","","","","","","Почему ты говоришь как по учебнику?","Pochemu ty govorish kak po uchebniku?","Why do you sound like a textbook?","Questions & Answers"
"377","491","","","","","","","","Где вы купили эти элегантные туфли?","Gde vy kupili eti elegantnye tufli?","Where did you buy these elegant shoes?","Questions & Answers"
"378","495","","","","","","","","Во сколько ты сегодня пойдешь домой?","Vo skolko ty segodnya poydesh domoy?","What time will you go home today?","Questions & Answers"
"379","497","","","","","","","","Кто хочет, чтобы ты был начальником?","Kto khochet, chtoby ty byl nachalnikom?","Who wants you to be the boss?","Work & Daily Tasks"
"380","499","","","","","","","","Почему я должен купить новую машину?","Pochemu ya dolzhen kupit novuyu mashinu?","Why should I buy a new car?","Questions & Answers"
"381","501","","","","","","","","Могу ли я сходить купить мороженого?","Mogu li ya skhodit kupit morozhenogo?","Can I go buy some ice cream?","Shopping & Money"
"382","502","","","","","","","","Как мы можем преодолеть этот кризис?","Kak my mozhem preodolet etot krizis?","How can we get past this crisis?","Questions & Answers"
"383","505","","","","","","","","Вы не подскажете, где это находится?","Vy ne podskazhete, gde eto nakhoditsya?","Could you tell me where it is?","Questions & Answers"
"384","506","","","","","","","","Какой ты бы мне рекомендовал купить?","Kakoy ty by mne rekomendoval kupit?","Which one would you recommend I buy?","Questions & Answers"
"385","507","","","","","","","","Вы считаете, что это слишком быстро?","Vy schitaete, chto eto slishkom bystro?","Do you think it is too fast?","Thoughts, Needs & Feelings"
"386","508","","","","","","","","Во сколько ты завтра утром уезжаешь?","Vo skolko ty zavtra utrom uezzhaesh?","What time are you leaving tomorrow morning?","Questions & Answers"
"387","514","","","","","","","","Как ты смеешь называть меня расистом?","Kak ty smeesh nazyvat menya rasistom?","How dare you call me a racist?","Questions & Answers"
"388","515","","","","","","","","Как ты можешь задавать такие вопросы?","Kak ty mozhesh zadavat takie voprosy?","How can you ask such a question?","Questions & Answers"
"389","516","","","","","","","","Во сколько нам обходится эта поездка?","Vo skolko nam obkhoditsya eta poezdka?","How much is this trip costing us?","Questions & Answers"
"390","517","","","","","","","","Насколько холодно там, где ты живёшь?","Naskolko kholodno tam, gde ty zhivyosh?","How cold is it where you live?","Questions & Answers"
"391","520","","","","","","","","Сколько штатов США ты можешь назвать?","Skolko shtatov SShA ty mozhesh nazvat?","How many US states can you name?","Questions & Answers"
"392","521","","","","","","","","Как вы можете терпеть такого грубияна?","Kak vy mozhete terpet takogo grubiyana?","How can you tolerate that rude fellow?","Questions & Answers"
"393","524","","","","","","","","Почему ты приходил сюда сегодня утром?","Pochemu ty prikhodil syuda segodnya utrom?","Why did you come here this morning?","Questions & Answers"
"394","528","","","","","","","","Как долго вы планируете здесь пробыть?","Kak dolgo vy planiruete zdes probyt?","How long are you planning to stay?","Questions & Answers"
"395","534","","","","","","","","Что ты собираешься делать в Рождество?","Chto ty sobiraeshsya delat v Rozhdestvo?","What will you do on Christmas Day?","Fluency Builder 2"
"396","536","","","","","","","","Какие ещё русские поговорки вы знаете?","Kakie eshchyo russkie pogovorki vy znaete?","What other Russian proverbs do you know?","Questions & Answers"
"397","538","","","","","","","","На сколько ты можешь задержать дыхание?","Na skolko ty mozhesh zaderzhat dykhanie?","How long can you hold your breath?","Questions & Answers"
"398","544","","","","","","","","Во сколько завтра наш самолёт вылетает?","Vo skolko zavtra nash samolyot vyletaet?","What time does our plane leave tomorrow?","Questions & Answers"
"399","547","","","","","","","","Ты слышал, что случилось сегодня утром?","Ty slyshal, chto sluchilos segodnya utrom?","Did you hear what happened this morning?","Time & Plans"
"400","548","","","","","","","","Вы приняли его утверждение как истинное?","Vy prinyali ego utverzhdenie kak istinnoe?","Did you accept his statement as true?","Questions & Answers"
"401","549","","","","","","","","Сколько ещё страданий они могут вынести?","Skolko eshchyo stradaniy oni mogut vynesti?","How much more suffering can they endure?","Questions & Answers"
"402","550","","","","","","","","Ты можешь представить меня своему другу?","Ty mozhesh predstavit menya svoemu drugu?","Can you introduce me to your friend?","Fluency Builder 2"
"403","556","","","","","","","","Как часто ты используешь эти инструменты?","Kak chasto ty ispolzuesh eti instrumenty?","How often do you use these tools?","Questions & Answers"
"404","557","","","","","","","","Сколько водки ты можешь выпить, Владимир?","Skolko vodki ty mozhesh vypit, Vladimir?","How much vodka can you drink, Vladimir?","Questions & Answers"
"405","558","","","","","","","","Ты можешь получить нужную нам информацию?","Ty mozhesh poluchit nuzhnuyu nam informatsiyu?","Can you get the information we need?","Thoughts, Needs & Feelings"
"406","559","","","","","","","","Сколько ещё этот дождь будет продолжаться?","Skolko eshchyo etot dozhd budet prodolzhatsya?","How long will this rain go on?","Questions & Answers"
"407","560","","","","","","","","Мне нужно лекарство. Где находится аптека?","Mne nuzhno lekarstvo. Gde nakhoditsya apteka?","I need medicine. Where is the pharmacy?","Questions & Answers"
"408","565","","","","","","","","Вы действительно думаете, что меня обманули?","Vy deystvitelno dumaete, chto menya obmanuli?","Do you really think I was fooled?","Thoughts, Needs & Feelings"
"409","577","","","","","","","","Что, если мы их не найдём?","Chto, esli my ikh ne naydyom?","What if we don't find them?","Fluency Builder 2"
"410","588","","","","","","","","Вы сказали им, что вы здесь?","Vy skazali im, chto vy zdes?","Have you told them you're here?","Fluency Builder 2"
"411","589","","","","","","","","Кто говорит, что я их боюсь?","Kto govorit, chto ya ikh boyus?","Who says I'm afraid of them?","Fluency Builder 2"
"412","596","","","","","","","","Вы что, не можете её открыть?","Vy chto, ne mozhete eyo otkryt?","You can't open it, can you?","Fluency Builder 2"
"413","598","","","","","","","","Вы ведь знаете, как её зовут?","Vy ved znaete, kak eyo zovut?","You know her name, don't you?","Questions & Answers"
"414","627","","","","","","","","Ты уже решил, что будешь делать?","Ty uzhe reshil, chto budesh delat?","Have you decided what you'll do?","Fluency Builder 2"
"415","629","","","","","","","","Откуда я знаю, что он безопасен?","Otkuda ya znayu, chto on bezopasen?","How do I know it's safe?","Questions & Answers"
"416","630","","","","","","","","Как вы думаете, он меня простит?","Kak vy dumaete, on menya prostit?","Do you think he'll forgive me?","Questions & Answers"
"417","677","","","","","","","","Почему вам не нравится здесь работать?","Pochemu vam ne nravitsya zdes rabotat?","Why don't you like working here?","Questions & Answers"
"418","688","","","","","","","","Где ты был в тот день?","Gde ty byl v tot den?","Where were you that day?","Questions & Answers"
"419","1086","","","","","","","","Что у тебя в этой сумке?","Chto u tebya v etoy sumke?","What do you have in this bag?","Fluency Builder 3"
"420","1087","","","","","","","","У вас есть дом в Италии?","U vas est dom v Italii?","Do you have a home in Italy?","Home & Family Life"
"421","1098","","","","","","","","У тебя есть с собой ручка?","U tebya est s soboy ruchka?","Have you got a pen on you?","Fluency Builder 3"
"422","1103","","","","","","","","Ходил ли ты на рынок вчера?","Khodil li ty na rynok vchera?","Did you go to the market yesterday?","Time & Plans"
"423","1108","","","","","","","","А что вы для этого сделали?","A chto vy dlya etogo sdelali?","And what have you done for that?","Fluency Builder 3"
"424","1109","","","","","","","","Что для тебя важно в жизни?","Chto dlya tebya vazhno v zhizni?","What is important to you in life?","Fluency Builder 3"
"425","1112","","","","","","","","Что ты сделал с моей сумкой?","Chto ty sdelal s moey sumkoy?","What have you done with my bag?","Fluency Builder 3"
"426","1115","","","","","","","","Что твое имя о тебе говорит?","Chto tvoe imya o tebe govorit?","What does your name say about you?","Fluency Builder 3"
"427","1116","","","","","","","","Для кого ты купил эти цветы?","Dlya kogo ty kupil eti tsvety?","Who did you buy those flowers for?","Shopping & Money"
"428","1117","","","","","","","","Что я делаю со своей жизнью?","Chto ya delayu so svoey zhiznyu?","What am I doing with my life?","Fluency Builder 3"
"429","1119","","","","","","","","Что вы обычно едите на ужин?","Chto vy obychno edite na uzhin?","What do you usually have for dinner?","Food & Restaurants"
"430","1120","","","","","","","","Твой внук уже ходит в школу?","Tvoy vnuk uzhe khodit v shkolu?","Does your grandson go to school yet?","Fluency Builder 3"
"431","1121","","","","","","","","Что он обо всём этом думает?","Chto on obo vsyom etom dumaet?","What does he think about all this?","Thoughts, Needs & Feelings"
"432","1125","","","","","","","","Чего мой отец от тебя хотел?","Chego moy otets ot tebya khotel?","What did my father want from you?","Thoughts, Needs & Feelings"
"433","1126","","","","","","","","Что вы думаете на этот счёт?","Chto vy dumaete na etot schyot?","What is your opinion on this subject?","Thoughts, Needs & Feelings"
"434","1129","","","","","","","","Можно я возьму с собой друга?","Mozhno ya vozmu s soboy druga?","Can I bring my friend with me?","Fluency Builder 3"
"435","1130","","","","","","","","Хочет ли он на это взглянуть?","Khochet li on na eto vzglyanut?","Does he want to look at it?","Thoughts, Needs & Feelings"
"436","1133","","","","","","","","Что ты видишь из своего окна?","Chto ty vidish iz svoego okna?","What do you see from your window?","Fluency Builder 3"
"437","1139","","","","","","","","Что вы сажаете на этих полях?","Chto vy sazhaete na etikh polyakh?","What do you plant in these fields?","Fluency Builder 3"
"438","1142","","","","","","","","Вы не ходили сегодня в школу?","Vy ne khodili segodnya v shkolu?","Did you not go to school today?","Time & Plans"
"439","1143","","","","","","","","Что мы видим на этой картине?","Chto my vidim na etoy kartine?","What can we see in this painting?","Health & Body"
"440","1146","","","","","","","","Что вы купили ей на Рождество?","Chto vy kupili ey na Rozhdestvo?","What have you bought her for Christmas?","Shopping & Money"
"441","1148","","","","","","","","Кто был у телефона этим утром?","Kto byl u telefona etim utrom?","Who was on the phone this morning?","Fluency Builder 3"
"442","1151","","","","","","","","Что о тебе подумали бы друзья?","Chto o tebe podumali by druzya?","What would your friends think about you?","Thoughts, Needs & Feelings"
"443","1152","","","","","","","","Что ты напишешь в этом письме?","Chto ty napishesh v etom pisme?","What will you write in this letter?","Fluency Builder 3"
"444","1157","","","","","","","","Что ты помнишь о прошлой ночи?","Chto ty pomnish o proshloy nochi?","What do you remember from last night?","Fluency Builder 3"
"445","1158","","","","","","","","Что привело вас в наш городок?","Chto privelo vas v nash gorodok?","What brings you to our little town?","Fluency Builder 3"
"446","1161","","","","","","","","О чём вам напоминает эта шляпа?","O chyom vam napominaet eta shlyapa?","What does this hat remind you of?","Fluency Builder 3"
"447","1166","","","","","","","","Скажите, кто еще знает об этом?","Skazhite, kto eshche znaet ob etom?","Who else knows about this?","Fluency Builder 3"
